City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Langxiang,CN,46.95,128.88,75.27,81,33,1.97,scattered clouds
180,Samana,DO,19.21,-69.34,78.39,85,6,9.55,clear sky
181,Chipinge,ZW,-20.19,32.62,53.01,89,11,3.87,few clouds
182,Grand Gaube,MU,-20.01,57.66,70.2,70,94,11.01,light rain
183,Saint-Augustin,CA,51.23,-58.65,54.19,96,100,22.17,overcast clouds
184,Lazaro Cardenas,MX,17.96,-102.2,80.28,88,27,5.32,scattered clouds
185,Yaring,TH,6.87,101.37,85.89,65,79,11.32,broken clouds
186,Suez,EG,29.97,32.53,76.3,72,0,8.43,clear sky
187,Kruisfontein,ZA,-34.0,24.73,50.88,92,100,3.94,moderate rain
188,Srandakan,ID,-7.94,110.25,82.15,70,10,4.65,clear sky
189,Karasjok,NO,69.47,25.51,54.45,90,100,7.34,overcast clouds
190,Kodiak,US,57.79,-152.41,52.36,87,100,2.53,overcast clouds
191,Joao Pinheiro,BR,-17.74,-46.17,63.0,48,0,7.27,clear sky
192,Aksarka,RU,66.56,67.8,65.26,58,17,8.79,few clouds
193,Itaituba,BR,-4.28,-55.98,78.93,66,76,1.45,broken clouds
194,Dodge City,US,37.75,-100.02,95.23,30,25,10.0,scattered clouds
195,Dicabisagan,PH,17.08,122.42,88.5,65,98,6.76,overcast clouds
196,Raub,MY,3.79,101.86,88.02,58,99,2.35,overcast clouds
197,Vanimo,PG,-2.67,141.3,82.63,76,82,1.14,broken clouds
198,Gewane,ET,10.17,40.65,73.99,76,100,8.68,light rain
199,Siteki,SZ,-26.45,31.95,56.64,78,1,3.8,clear sky
200,Bouake,CI,7.69,-5.02,69.19,85,100,6.44,overcast clouds
201,Akureyri,IS,65.68,-18.09,51.73,87,100,6.91,overcast clouds
202,Leningradskiy,RU,69.38,178.42,34.34,97,100,21.56,snow
203,Klaksvik,FO,62.23,-6.59,52.72,97,88,9.4,overcast clouds
204,Yuma,US,32.73,-114.62,104.72,27,94,11.23,overcast clouds
205,Margate,GB,51.38,1.39,67.87,79,88,4.0,overcast clouds
206,Kargasok,RU,59.06,80.86,60.33,84,87,5.64,overcast clouds
207,Cidreira,BR,-30.18,-50.21,57.49,91,5,5.66,clear sky
208,Ramos Arizpe,MX,25.55,-100.97,76.95,45,93,3.13,overcast clouds
209,Bagan,RU,54.1,77.66,70.41,53,55,5.93,broken clouds
